timestamp,mac_address
2026-09-03T15:43:49-03:00,30:AE:A4:F6:0B:C4
2026-09-03T15:45:09-03:00,CC:50:E3:94:A9:4C
2026-09-03T15:46:03-03:00,24:6F:28:0B:AA:30
2026-09-03T15:46:52-03:00,24:62:AB:B1:D9:38
2026-09-03T15:47:50-03:00,24:6F:28:0B:8A:EC
2026-09-03T15:48:47-03:00,24:62:AB:B0:6E:D8
2026-09-03T15:49:35-03:00,D0:EF:76:48:2A:5C
2026-09-03T15:50:23-03:00,70:B8:F6:71:48:3C
2026-09-03T15:51:45-03:00,20:43:A8:E6:D5:EC
2026-09-03T15:53:00-03:00,C8:C9:A3:C7:85:54
2026-09-03T15:54:35-03:00,40:22:D8:03:E7:F0
2026-09-03T15:55:34-03:00,20:43:A8:E6:19:60
2026-09-03T15:56:32-03:00,94:B5:55:27:25:A8
2026-09-03T15:57:33-03:00,20:43:A8:E6:16:98
2026-09-03T15:59:13-03:00,14:33:5C:03:E4:40
2026-09-03T16:00:26-03:00,C8:C9:A3:C5:EE:34
2026-09-03T16:02:15-03:00,20:43:A8:E5:A4:D0
2026-09-03T16:03:11-03:00,20:43:A8:E6:43:B0
2026-09-03T16:04:04-03:00,D0:EF:76:48:4E:40
2026-09-03T16:05:19-03:00,08:3A:F2:7C:D4:64
2026-09-03T16:06:11-03:00,70:B8:F6:71:DD:F4
2026-09-03T16:07:02-03:00,D0:EF:76:48:69:F4
2026-09-03T16:08:02-03:00,14:33:5C:65:4B:E0
2026-09-03T16:12:00-03:00,20:43:A8:E5:7F:E8
2026-09-03T16:13:50-03:00,20:43:A8:E5:6D:20
2026-09-03T16:14:39-03:00,20:43:A8:E6:1F:9C
